Temp (c),Elevation,Time_observation,timestamp_climate,selected,number,true.positive,positivity.level,actual,notes,validator,Selection,View,Channel,Begin.Time,End.Time,Low.Freq,High.Freq,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset
21.102,400500,20240119_083000,2024-01-19 08:30:00,TRUE,44,TRUE,1,,,Eliza,150,Spectrogram 1,1,7371,7374,0,15000,Green Warbler,grnwar1,0.6082,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_083000.WAV,171
29.602,400500,20240119_143000,2024-01-19 14:30:00,FALSE,45,NA,NA,,,Eliza,221,Spectrogram 1,1,8760,8763,0,15000,Green Warbler,grnwar1,0.9429,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_143000.WAV,60
29.602,400500,20240119_143000,2024-01-19 14:30:00,FALSE,46,NA,NA,,,Eliza,223,Spectrogram 1,1,8880,8883,0,15000,Green Warbler,grnwar1,0.924,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240119_143000.WAV,180
24.103,400500,20240120_093000,2024-01-20 09:30:00,FALSE,47,NA,NA,,,Eliza,338,Spectrogram 1,1,14949,14952,0,15000,Green Warbler,grnwar1,0.7385,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240120_093000.WAV,249
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,48,NA,NA,,,Eliza,617,Spectrogram 1,1,24408,24411,0,15000,Green Warbler,grnwar1,0.5798,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,108
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,49,NA,NA,,,Eliza,618,Spectrogram 1,1,24417,24420,0,15000,Green Warbler,grnwar1,0.7242,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,117
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,50,NA,NA,,,Eliza,620,Spectrogram 1,1,24432,24435,0,15000,Green Warbler,grnwar1,0.5548,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,132
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,51,NA,NA,,,Eliza,626,Spectrogram 1,1,24513,24516,0,15000,Green Warbler,grnwar1,0.868,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,213
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,52,NA,NA,,,Eliza,627,Spectrogram 1,1,24519,24522,0,15000,Green Warbler,grnwar1,0.9263,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,219
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,53,NA,NA,,,Eliza,628,Spectrogram 1,1,24522,24525,0,15000,Green Warbler,grnwar1,0.7037,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,222
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,54,NA,NA,,,Eliza,629,Spectrogram 1,1,24528,24531,0,15000,Green Warbler,grnwar1,0.7792,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,228
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,55,NA,NA,,,Eliza,630,Spectrogram 1,1,24543,24546,0,15000,Green Warbler,grnwar1,0.8758,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,243
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,56,NA,NA,,,Eliza,631,Spectrogram 1,1,24549,24552,0,15000,Green Warbler,grnwar1,0.7676,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,249
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,57,NA,NA,,,Eliza,632,Spectrogram 1,1,24558,24561,0,15000,Green Warbler,grnwar1,0.8545,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,258
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,58,NA,NA,,,Eliza,633,Spectrogram 1,1,24564,24567,0,15000,Green Warbler,grnwar1,0.926,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,264
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,59,NA,NA,,,Eliza,634,Spectrogram 1,1,24567,24570,0,15000,Green Warbler,grnwar1,0.9496,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,267
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,60,NA,NA,,,Eliza,635,Spectrogram 1,1,24570,24573,0,15000,Green Warbler,grnwar1,0.8157,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,270
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,61,NA,NA,,,Eliza,636,Spectrogram 1,1,24573,24576,0,15000,Green Warbler,grnwar1,0.9645,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,273
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,62,NA,NA,,,Eliza,637,Spectrogram 1,1,24576,24579,0,15000,Green Warbler,grnwar1,0.7236,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,276
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,63,NA,NA,,,Eliza,638,Spectrogram 1,1,24579,24582,0,15000,Green Warbler,grnwar1,0.9351,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,279
27.603,400500,20240121_173000,2024-01-21 17:30:00,FALSE,64,NA,NA,,,Eliza,639,Spectrogram 1,1,24588,24591,0,15000,Green Warbler,grnwar1,0.9432,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240121_173000.WAV,288
21.102,400500,20240122_073000,2024-01-22 07:30:00,FALSE,65,NA,NA,,,Eliza,649,Spectrogram 1,1,28572,28575,0,15000,Green Warbler,grnwar1,0.6513,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_073000.WAV,72
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,66,NA,NA,,,Eliza,704,Spectrogram 1,1,29700,29703,0,15000,Green Warbler,grnwar1,0.8416,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,0
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,68,NA,NA,,,Eliza,706,Spectrogram 1,1,29703,29706,0,15000,Green Warbler,grnwar1,0.8763,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,3
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,69,NA,NA,,,Eliza,707,Spectrogram 1,1,29712,29715,0,15000,Green Warbler,grnwar1,0.5589,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,12
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,70,NA,NA,,,Eliza,708,Spectrogram 1,1,29715,29718,0,15000,Green Warbler,grnwar1,0.7497,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,15
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,71,NA,NA,,,Eliza,709,Spectrogram 1,1,29718,29721,0,15000,Green Warbler,grnwar1,0.8893,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,18
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,72,NA,NA,,,Eliza,710,Spectrogram 1,1,29724,29727,0,15000,Green Warbler,grnwar1,0.8496,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,24
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,73,NA,NA,,,Eliza,711,Spectrogram 1,1,29733,29736,0,15000,Green Warbler,grnwar1,0.9208,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,33
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,74,NA,NA,,,Eliza,712,Spectrogram 1,1,29736,29739,0,15000,Green Warbler,grnwar1,0.66,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,36
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,75,NA,NA,,,Eliza,713,Spectrogram 1,1,29739,29742,0,15000,Green Warbler,grnwar1,0.8011,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,39
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,76,NA,NA,,,Eliza,714,Spectrogram 1,1,29745,29748,0,15000,Green Warbler,grnwar1,0.8218,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,45
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,77,NA,NA,,,Eliza,715,Spectrogram 1,1,29748,29751,0,15000,Green Warbler,grnwar1,0.5359,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,48
27.103,400500,20240122_113000,2024-01-22 11:30:00,FALSE,78,NA,NA,,,Eliza,717,Spectrogram 1,1,29757,29760,0,15000,Green Warbler,grnwar1,0.6457,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240122_113000.WAV,57
20.101,400500,20240123_073000,2024-01-23 07:30:00,FALSE,79,NA,NA,,,Eliza,925,Spectrogram 1,1,35967,35970,0,15000,Green Warbler,grnwar1,0.5026,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_073000.WAV,267
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,80,NA,NA,,,Eliza,927,Spectrogram 1,1,36000,36003,0,15000,Green Warbler,grnwar1,0.5109,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,0
20.602,400500,20240123_083000,2024-01-23 08:30:00,TRUE,81,TRUE,1,,,Eliza,928,Spectrogram 1,1,36006,36009,0,15000,Green Warbler,grnwar1,0.7688,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,6
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,82,NA,NA,,,Eliza,929,Spectrogram 1,1,36012,36015,0,15000,Green Warbler,grnwar1,0.647,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,12
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,83,NA,NA,,,Eliza,930,Spectrogram 1,1,36015,36018,0,15000,Green Warbler,grnwar1,0.6041,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,15
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,84,NA,NA,,,Eliza,931,Spectrogram 1,1,36018,36021,0,15000,Green Warbler,grnwar1,0.8388,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,18
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,85,NA,NA,,,Eliza,932,Spectrogram 1,1,36021,36024,0,15000,Green Warbler,grnwar1,0.5253,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,21
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,86,NA,NA,,,Eliza,933,Spectrogram 1,1,36024,36027,0,15000,Green Warbler,grnwar1,0.8339,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,24
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,87,NA,NA,,,Eliza,934,Spectrogram 1,1,36033,36036,0,15000,Green Warbler,grnwar1,0.8092,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,33
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,88,NA,NA,,,Eliza,935,Spectrogram 1,1,36036,36039,0,15000,Green Warbler,grnwar1,0.6464,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,36
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,89,NA,NA,,,Eliza,936,Spectrogram 1,1,36045,36048,0,15000,Green Warbler,grnwar1,0.6599,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,45
20.602,400500,20240123_083000,2024-01-23 08:30:00,TRUE,90,TRUE,1,,,Eliza,937,Spectrogram 1,1,36054,36057,0,15000,Green Warbler,grnwar1,0.7895,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,54
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,91,NA,NA,,,Eliza,938,Spectrogram 1,1,36057,36060,0,15000,Green Warbler,grnwar1,0.8344,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,57
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,92,NA,NA,,,Eliza,939,Spectrogram 1,1,36063,36066,0,15000,Green Warbler,grnwar1,0.8599,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,63
20.602,400500,20240123_083000,2024-01-23 08:30:00,FALSE,93,NA,NA,,,Eliza,941,Spectrogram 1,1,36087,36090,0,15000,Green Warbler,grnwar1,0.9428,/Volumes/01-valparai-VR/elevational-gradients/acoustic-data/NILEAST_A_0400_0500_400600/20240123_083000.WAV,87
